,RF,LR,MLP,NoS
0,,,,
1,,,,
2,,,,
3,68.1,71.4,70.0,145.0
4,79.2,76.8,77.2,79.0
5,79.2,83.0,80.6,92.0
6,84.5,89.8,87.9,56.0
7,81.6,81.1,82.6,94.0
8,85.0,88.8,86.9,58.0
9,86.9,80.6,86.4,61.0
10,88.8,82.1,87.9,42.0
11,85.9,83.5,87.4,55.0
12,76.3,77.7,76.8,86.0
13,82.1,84.0,85.0,103.0
14,90.8,90.8,94.2,24.0
15,90.8,86.9,92.7,42.0
16,88.8,87.4,88.8,41.0
17,91.3,88.8,91.3,41.0
18,82.1,84.0,84.5,51.0
19,92.7,94.6,93.2,59.0
20,91.3,93.2,93.7,33.0
21,94.6,95.1,95.1,14.0
22,96.1,94.2,94.6,18.0
23,94.2,95.1,97.5,15.0
24,94.6,94.6,93.7,21.0
25,93.7,94.2,94.2,20.0
26,84.0,87.4,87.4,61.0
27,85.0,85.0,87.9,100.0
28,87.4,89.3,90.8,50.0
29,86.4,85.9,91.3,40.0
30,86.4,87.4,87.9,89.0
31,78.2,75.8,80.1,72.0
32,89.3,87.4,89.3,38.0
33,86.9,86.4,90.3,60.0
34,89.8,88.8,89.3,32.0
35,88.4,87.9,90.3,29.0
36,88.8,90.8,93.2,20.0
37,89.3,89.3,90.8,36.0
38,84.5,85.9,88.4,76.0
39,89.8,88.8,90.8,30.0
40,,,,0.0
41,88.8,86.4,88.8,36.0
42,93.7,92.7,93.7,13.0
43,94.2,94.2,94.2,5.0
44,93.7,96.6,96.6,21.0
45,89.8,90.8,92.7,2.0
46,,,,
47,86.4,81.1,87.4,15.0
48,95.1,94.2,95.1,15.0
